Artist,Mood_emoji,Instrument,Era,Real_Artist,Genre,Energy,Main_Instrument
mira solis,chill,violin,classical,Reneé Rapp,Pop,0.66,Vocals
zaya ice,happy,violin,classical,Flashy Ice Cream,Urban Trap,0.8,Vocals
arlo kain,sad,synth,80s,David Byrne,Art Rock,0.65,Vocals / Guitar
liora vale,happy,bass,2000s,Rigoberta Bandini,Indie Pop,0.68,Vocals
viko ray,happy,guitar,80s,Ginebras,Indie Pop,0.75,Guitar
kael vorn,happy,piano,2000s,Jovanotti,Pop / World Music,0.77,Vocals
lily drift,chill,synth,90s,Chiquita Movida,Indie Pop,0.6,Vocals
bright hollow,sad,bass,futuristic,Two Door Cinema Club,Indie Rock,0.8,Guitar
zaya ice,chill,guitar,classical,Flashy Ice Cream,Urban Trap,0.8,Vocals
nox arden,angry,piano,medieval,Sen Senra,Indie Pop,0.64,Vocals
sora lyne,chill,trumpet,futuristic,Sigrid,Pop,0.72,Vocals
luna vex,happy,trumpet,2010s,Mama Dousha,Electronic Pop,0.7,Synth
dust canyon,sad,drums,70s,The Black Crowes,Blues Rock,0.78,Guitar
orion keys,happy,guitar,2000s,Jon Batiste,Jazz / Soul,0.6,Piano
eden bloom,chill,bass,classical,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
aqua lume,angry,drums,2010s,Polo & Pan,Electronic,0.62,Synth
taro vale,chill,synth,classical,Ezra Collective,Jazz / Afrobeat,0.74,Drums
mina rose,happy,synth,70s,Mushkaa,Urban Pop,0.68,Vocals
orin flux,happy,violin,futuristic,Dorian,Indie Electronic,0.73,Synth
riven skoll,angry,piano,2000s,Sidonie,Indie Rock,0.74,Guitar
nox arden,chill,synth,2010s,Sen Senra,Indie Pop,0.64,Vocals
kael vorn,sad,synth,70s,Jovanotti,Pop / World Music,0.77,Vocals
rex volta,chill,piano,classical,Meute,Techno Brass,0.86,Brass
mira solis,sad,synth,medieval,Reneé Rapp,Pop,0.66,Vocals
cora miel,sad,drums,2000s,Sadie Jean,Pop,0.52,Vocals
mono chrome,happy,synth,futuristic,The Hives,Garage Rock,0.9,Guitar
dante cross,chill,piano,2000s,Mishima,Indie Rock,0.63,Vocals
cora miel,sad,guitar,80s,Sadie Jean,Pop,0.52,Vocals
vira nova,chill,trumpet,80s,Halsey,Alternative Pop,0.7,Vocals
sora lyne,sad,guitar,80s,Sigrid,Pop,0.72,Vocals
echo vant,chill,violin,70s,Parquesvr,Post-Punk,0.76,Guitar
axel noir,chill,dj,2000s,Ultraligera,Indie Rock,0.68,Guitar
ryo kaze,sad,piano,2000s,Figa Flawas,Urban Pop Rap,0.79,Vocals
crimson echo,sad,piano,70s,Garbage,Alternative Rock,0.75,Vocals
nyx aura,chill,synth,classical,Ven'nus,Alternative Pop,0.66,Vocals
dante cross,happy,bass,medieval,Mishima,Indie Rock,0.63,Vocals
dante cross,chill,drums,classical,Mishima,Indie Rock,0.63,Vocals
ryo kaze,happy,dj,80s,Figa Flawas,Urban Pop Rap,0.79,Vocals
lily drift,happy,drums,70s,Chiquita Movida,Indie Pop,0.6,Vocals
lily drift,sad,guitar,80s,Chiquita Movida,Indie Pop,0.6,Vocals
kael vorn,sad,bass,90s,Jovanotti,Pop / World Music,0.77,Vocals
nova tide,angry,guitar,2010s,Midnight Generation,Funk / Disco,0.81,Synth
vira nova,sad,piano,classical,Halsey,Alternative Pop,0.7,Vocals
suri lane,happy,dj,90s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
aqua lume,happy,violin,90s,Polo & Pan,Electronic,0.62,Synth
lena pulse,happy,violin,2010s,Delaporte,Electronic Pop,0.78,Synth
pyro kine,happy,piano,futuristic,Son Rompe Pera,Marimba Punk,0.83,Marimba
liora vale,angry,guitar,medieval,Rigoberta Bandini,Indie Pop,0.68,Vocals
cale rowan,happy,guitar,classical,La Ludwig Band,Folk Rock,0.67,Guitar
echo vant,chill,violin,2000s,Parquesvr,Post-Punk,0.76,Guitar
mira cloud,angry,bass,2010s,The Cardigans,Alternative Pop,0.65,Vocals
lena pulse,happy,piano,90s,Delaporte,Electronic Pop,0.78,Synth
vira nova,happy,bass,70s,Halsey,Alternative Pop,0.7,Vocals
juno vex,happy,synth,classical,Alizzz,Electronic Pop,0.71,Synth
suri lane,sad,piano,90s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
juno vex,chill,synth,80s,Alizzz,Electronic Pop,0.71,Synth
mira solis,sad,dj,classical,Reneé Rapp,Pop,0.66,Vocals
kael vorn,sad,dj,medieval,Jovanotti,Pop / World Music,0.77,Vocals
zelka tano,angry,bass,2010s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
zaya ice,chill,violin,2000s,Flashy Ice Cream,Urban Trap,0.8,Vocals
lena pulse,happy,trumpet,70s,Delaporte,Electronic Pop,0.78,Synth
sora lyne,happy,synth,medieval,Sigrid,Pop,0.72,Vocals
nero pulse,chill,synth,90s,31 FAM,Urban Trap,0.82,Vocals
arlo kain,angry,piano,medieval,David Byrne,Art Rock,0.65,Vocals / Guitar
aqua lume,happy,piano,medieval,Polo & Pan,Electronic,0.62,Synth
axel noir,chill,trumpet,90s,Ultraligera,Indie Rock,0.68,Guitar
stone vale,chill,dj,futuristic,Els Pets,Rock,0.69,Guitar
nox arden,chill,drums,2010s,Sen Senra,Indie Pop,0.64,Vocals
stone vale,sad,guitar,2000s,Els Pets,Rock,0.69,Guitar
lena pulse,happy,piano,2000s,Delaporte,Electronic Pop,0.78,Synth
axel noir,happy,guitar,futuristic,Ultraligera,Indie Rock,0.68,Guitar
nero pulse,sad,bass,futuristic,31 FAM,Urban Trap,0.82,Vocals
vira nova,sad,bass,medieval,Halsey,Alternative Pop,0.7,Vocals
nova tide,sad,piano,2000s,Midnight Generation,Funk / Disco,0.81,Synth
zelka tano,happy,dj,80s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
arlo kain,chill,violin,classical,David Byrne,Art Rock,0.65,Vocals / Guitar
eira flux,happy,piano,2010s,Zahara,Indie Pop,0.58,Vocals
eden bloom,happy,violin,90s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
dust canyon,chill,trumpet,80s,The Black Crowes,Blues Rock,0.78,Guitar
dax nova,sad,drums,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
mira solis,chill,guitar,90s,Reneé Rapp,Pop,0.66,Vocals
orion keys,chill,guitar,2000s,Jon Batiste,Jazz / Soul,0.6,Piano
vira nova,sad,drums,futuristic,Halsey,Alternative Pop,0.7,Vocals
nyra kade,happy,dj,90s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
sora lyne,chill,violin,80s,Sigrid,Pop,0.72,Vocals
crimson echo,happy,trumpet,80s,Garbage,Alternative Rock,0.75,Vocals
kiro blaze,sad,piano,medieval,Lildami,Urban Hip Hop,0.74,Vocals
lily drift,happy,bass,medieval,Chiquita Movida,Indie Pop,0.6,Vocals
nyx aura,sad,drums,2010s,Ven'nus,Alternative Pop,0.66,Vocals
lumen riot,sad,violin,classical,Pixies,Alternative Rock,0.82,Guitar
pyro kine,happy,piano,2000s,Son Rompe Pera,Marimba Punk,0.83,Marimba
eira flux,chill,violin,70s,Zahara,Indie Pop,0.58,Vocals
viko ray,chill,drums,90s,Ginebras,Indie Pop,0.75,Guitar
zaya ice,sad,drums,classical,Flashy Ice Cream,Urban Trap,0.8,Vocals
viko ray,happy,drums,80s,Ginebras,Indie Pop,0.75,Guitar
nox arden,sad,bass,70s,Sen Senra,Indie Pop,0.64,Vocals
nero pulse,angry,violin,futuristic,31 FAM,Urban Trap,0.82,Vocals
lily drift,happy,dj,70s,Chiquita Movida,Indie Pop,0.6,Vocals
stone vale,happy,bass,medieval,Els Pets,Rock,0.69,Guitar
juno vex,happy,piano,2010s,Alizzz,Electronic Pop,0.71,Synth
eden bloom,angry,violin,80s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
taro vale,chill,drums,2010s,Ezra Collective,Jazz / Afrobeat,0.74,Drums
mira cloud,chill,drums,classical,The Cardigans,Alternative Pop,0.65,Vocals
riven skoll,chill,trumpet,2000s,Sidonie,Indie Rock,0.74,Guitar
suri lane,happy,synth,2000s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
nyra kade,sad,synth,80s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
luma skye,angry,violin,90s,Yami Safdie,Pop,0.55,Vocals
zaya ice,happy,piano,90s,Flashy Ice Cream,Urban Trap,0.8,Vocals
riven skoll,happy,guitar,90s,Sidonie,Indie Rock,0.74,Guitar
crimson echo,angry,synth,medieval,Garbage,Alternative Rock,0.75,Vocals
lumen riot,happy,guitar,2000s,Pixies,Alternative Rock,0.82,Guitar
bright hollow,angry,piano,70s,Two Door Cinema Club,Indie Rock,0.8,Guitar
orin flux,happy,piano,70s,Dorian,Indie Electronic,0.73,Synth
suri lane,happy,violin,2010s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
eira flux,sad,drums,futuristic,Zahara,Indie Pop,0.58,Vocals
viko ray,chill,synth,90s,Ginebras,Indie Pop,0.75,Guitar
kiro blaze,angry,guitar,90s,Lildami,Urban Hip Hop,0.74,Vocals
mono chrome,angry,guitar,70s,The Hives,Garage Rock,0.9,Guitar
vex orion,chill,guitar,medieval,Chico Blanco,Electronic,0.79,DJ
lumen riot,angry,guitar,futuristic,Pixies,Alternative Rock,0.82,Guitar
orion keys,sad,guitar,90s,Jon Batiste,Jazz / Soul,0.6,Piano
juno vex,sad,violin,classical,Alizzz,Electronic Pop,0.71,Synth
dante cross,sad,trumpet,classical,Mishima,Indie Rock,0.63,Vocals
vex orion,happy,violin,2000s,Chico Blanco,Electronic,0.79,DJ
nero pulse,happy,synth,medieval,31 FAM,Urban Trap,0.82,Vocals
zelka tano,sad,synth,classical,Bomba Estéreo,Electro Cumbia,0.85,Vocals
liora vale,angry,drums,90s,Rigoberta Bandini,Indie Pop,0.68,Vocals
mira solis,chill,dj,70s,Reneé Rapp,Pop,0.66,Vocals
nero pulse,angry,trumpet,70s,31 FAM,Urban Trap,0.82,Vocals
cora miel,happy,piano,2010s,Sadie Jean,Pop,0.52,Vocals
kael vorn,sad,synth,70s,Jovanotti,Pop / World Music,0.77,Vocals
orion keys,sad,piano,90s,Jon Batiste,Jazz / Soul,0.6,Piano
cora miel,sad,synth,2010s,Sadie Jean,Pop,0.52,Vocals
axel noir,chill,trumpet,2010s,Ultraligera,Indie Rock,0.68,Guitar
zelka tano,chill,dj,medieval,Bomba Estéreo,Electro Cumbia,0.85,Vocals
nyra kade,happy,piano,90s,Sampa the Great,Hip Hop / Soul,0.73,Vocals
nyx aura,happy,dj,70s,Ven'nus,Alternative Pop,0.66,Vocals
juno vex,angry,guitar,2010s,Alizzz,Electronic Pop,0.71,Synth
aqua lume,sad,drums,90s,Polo & Pan,Electronic,0.62,Synth
kiro blaze,sad,dj,90s,Lildami,Urban Hip Hop,0.74,Vocals
noir signal,happy,drums,90s,Faithless,Electronic / Dance,0.88,Synth / DJ
sora lyne,chill,synth,2010s,Sigrid,Pop,0.72,Vocals
dust canyon,chill,bass,70s,The Black Crowes,Blues Rock,0.78,Guitar
cale rowan,angry,dj,80s,La Ludwig Band,Folk Rock,0.67,Guitar
vex orion,happy,guitar,2010s,Chico Blanco,Electronic,0.79,DJ
riven skoll,angry,dj,classical,Sidonie,Indie Rock,0.74,Guitar
orin flux,chill,synth,2010s,Dorian,Indie Electronic,0.73,Synth
rex volta,happy,trumpet,70s,Meute,Techno Brass,0.86,Brass
echo vant,happy,piano,80s,Parquesvr,Post-Punk,0.76,Guitar
mira cloud,chill,dj,futuristic,The Cardigans,Alternative Pop,0.65,Vocals
lena pulse,sad,piano,2000s,Delaporte,Electronic Pop,0.78,Synth
lily drift,chill,synth,70s,Chiquita Movida,Indie Pop,0.6,Vocals
kai rio,happy,trumpet,80s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
orion keys,happy,synth,80s,Jon Batiste,Jazz / Soul,0.6,Piano
pyro kine,happy,guitar,classical,Son Rompe Pera,Marimba Punk,0.83,Marimba
sol vireo,chill,drums,2000s,Sexenni,Pop Rock,0.72,Guitar
nox arden,happy,bass,medieval,Sen Senra,Indie Pop,0.64,Vocals
orion keys,happy,drums,90s,Jon Batiste,Jazz / Soul,0.6,Piano
dax nova,chill,bass,80s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
taro vale,sad,trumpet,classical,Ezra Collective,Jazz / Afrobeat,0.74,Drums
eden bloom,happy,drums,2010s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
orin flux,happy,bass,futuristic,Dorian,Indie Electronic,0.73,Synth
kai rio,happy,synth,medieval,The Tyets,Urban Pop Reggaeton,0.81,Vocals
elara venn,angry,trumpet,medieval,Judeline,Pop,0.61,Vocals
nyra kade,happy,piano,medieval,Sampa the Great,Hip Hop / Soul,0.73,Vocals
dante cross,happy,piano,2010s,Mishima,Indie Rock,0.63,Vocals
lily drift,happy,dj,futuristic,Chiquita Movida,Indie Pop,0.6,Vocals
vex orion,angry,piano,70s,Chico Blanco,Electronic,0.79,DJ
sora lyne,angry,violin,80s,Sigrid,Pop,0.72,Vocals
aqua lume,chill,drums,90s,Polo & Pan,Electronic,0.62,Synth
nero pulse,sad,guitar,futuristic,31 FAM,Urban Trap,0.82,Vocals
axel noir,sad,piano,2010s,Ultraligera,Indie Rock,0.68,Guitar
orin flux,chill,violin,medieval,Dorian,Indie Electronic,0.73,Synth
riven skoll,happy,trumpet,medieval,Sidonie,Indie Rock,0.74,Guitar
nyx aura,happy,bass,90s,Ven'nus,Alternative Pop,0.66,Vocals
echo vant,chill,bass,futuristic,Parquesvr,Post-Punk,0.76,Guitar
viko ray,chill,violin,2010s,Ginebras,Indie Pop,0.75,Guitar
mira cloud,sad,violin,2010s,The Cardigans,Alternative Pop,0.65,Vocals
orin flux,chill,violin,2010s,Dorian,Indie Electronic,0.73,Synth
cale rowan,chill,synth,90s,La Ludwig Band,Folk Rock,0.67,Guitar
mono chrome,sad,synth,70s,The Hives,Garage Rock,0.9,Guitar
nox arden,happy,trumpet,80s,Sen Senra,Indie Pop,0.64,Vocals
lumen riot,chill,bass,classical,Pixies,Alternative Rock,0.82,Guitar
orion keys,chill,trumpet,2010s,Jon Batiste,Jazz / Soul,0.6,Piano
suri lane,chill,dj,80s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
rex volta,happy,drums,classical,Meute,Techno Brass,0.86,Brass
eden bloom,happy,trumpet,80s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
eden bloom,sad,guitar,futuristic,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
aqua lume,sad,dj,futuristic,Polo & Pan,Electronic,0.62,Synth
pyro kine,happy,piano,2000s,Son Rompe Pera,Marimba Punk,0.83,Marimba
luma skye,sad,piano,2010s,Yami Safdie,Pop,0.55,Vocals
elias storm,sad,dj,80s,Suede,Britpop,0.72,Vocals / Guitar
sol vireo,angry,drums,2000s,Sexenni,Pop Rock,0.72,Guitar
orion keys,happy,synth,futuristic,Jon Batiste,Jazz / Soul,0.6,Piano
mira solis,chill,bass,80s,Reneé Rapp,Pop,0.66,Vocals
mono chrome,chill,trumpet,medieval,The Hives,Garage Rock,0.9,Guitar
lena pulse,chill,synth,70s,Delaporte,Electronic Pop,0.78,Synth
elara venn,happy,bass,futuristic,Judeline,Pop,0.61,Vocals
dante cross,chill,guitar,80s,Mishima,Indie Rock,0.63,Vocals
echo vant,happy,drums,70s,Parquesvr,Post-Punk,0.76,Guitar
suri lane,sad,guitar,90s,Stay Homas,Indie Pop,0.62,Guitar / Vocals
elias storm,chill,guitar,70s,Suede,Britpop,0.72,Vocals / Guitar
kai rio,happy,piano,classical,The Tyets,Urban Pop Reggaeton,0.81,Vocals
crimson echo,happy,dj,futuristic,Garbage,Alternative Rock,0.75,Vocals
kael vorn,happy,dj,classical,Jovanotti,Pop / World Music,0.77,Vocals
elias storm,sad,bass,2010s,Suede,Britpop,0.72,Vocals / Guitar
bright hollow,happy,piano,2000s,Two Door Cinema Club,Indie Rock,0.8,Guitar
vex orion,chill,dj,2010s,Chico Blanco,Electronic,0.79,DJ
sora lyne,sad,dj,2000s,Sigrid,Pop,0.72,Vocals
orin flux,happy,guitar,2000s,Dorian,Indie Electronic,0.73,Synth
eira flux,chill,violin,2010s,Zahara,Indie Pop,0.58,Vocals
dante cross,chill,guitar,2010s,Mishima,Indie Rock,0.63,Vocals
sora lyne,sad,violin,2000s,Sigrid,Pop,0.72,Vocals
liora vale,sad,violin,2000s,Rigoberta Bandini,Indie Pop,0.68,Vocals
mira solis,sad,trumpet,2000s,Reneé Rapp,Pop,0.66,Vocals
luma skye,chill,guitar,futuristic,Yami Safdie,Pop,0.55,Vocals
ryo kaze,angry,trumpet,classical,Figa Flawas,Urban Pop Rap,0.79,Vocals
cora miel,sad,piano,2000s,Sadie Jean,Pop,0.52,Vocals
vira nova,happy,dj,90s,Halsey,Alternative Pop,0.7,Vocals
dax nova,angry,drums,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
eden bloom,happy,trumpet,80s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
kiro blaze,angry,piano,medieval,Lildami,Urban Hip Hop,0.74,Vocals
noir signal,chill,piano,medieval,Faithless,Electronic / Dance,0.88,Synth / DJ
eira flux,sad,drums,2000s,Zahara,Indie Pop,0.58,Vocals
viko ray,angry,violin,classical,Ginebras,Indie Pop,0.75,Guitar
arlo kain,sad,piano,2010s,David Byrne,Art Rock,0.65,Vocals / Guitar
kiro blaze,happy,synth,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
cale rowan,chill,trumpet,2000s,La Ludwig Band,Folk Rock,0.67,Guitar
kai rio,happy,synth,70s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
lily drift,angry,synth,2010s,Chiquita Movida,Indie Pop,0.6,Vocals
viko ray,sad,trumpet,classical,Ginebras,Indie Pop,0.75,Guitar
rex volta,angry,synth,futuristic,Meute,Techno Brass,0.86,Brass
mono chrome,happy,drums,70s,The Hives,Garage Rock,0.9,Guitar
luma skye,happy,violin,medieval,Yami Safdie,Pop,0.55,Vocals
zelka tano,angry,trumpet,classical,Bomba Estéreo,Electro Cumbia,0.85,Vocals
dust canyon,happy,guitar,70s,The Black Crowes,Blues Rock,0.78,Guitar
nyx aura,sad,guitar,80s,Ven'nus,Alternative Pop,0.66,Vocals
nyx aura,chill,violin,2000s,Ven'nus,Alternative Pop,0.66,Vocals
nox arden,chill,piano,medieval,Sen Senra,Indie Pop,0.64,Vocals
arlo kain,happy,trumpet,2010s,David Byrne,Art Rock,0.65,Vocals / Guitar
nova tide,chill,bass,90s,Midnight Generation,Funk / Disco,0.81,Synth
riven skoll,sad,guitar,80s,Sidonie,Indie Rock,0.74,Guitar
kai rio,happy,drums,classical,The Tyets,Urban Pop Reggaeton,0.81,Vocals
luna vex,sad,dj,70s,Mama Dousha,Electronic Pop,0.7,Synth
zaya ice,chill,violin,medieval,Flashy Ice Cream,Urban Trap,0.8,Vocals
nova tide,sad,guitar,2010s,Midnight Generation,Funk / Disco,0.81,Synth
kai rio,chill,drums,2010s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
orion keys,happy,synth,futuristic,Jon Batiste,Jazz / Soul,0.6,Piano
kiro blaze,chill,drums,classical,Lildami,Urban Hip Hop,0.74,Vocals
mira solis,chill,violin,futuristic,Reneé Rapp,Pop,0.66,Vocals
taro vale,sad,piano,futuristic,Ezra Collective,Jazz / Afrobeat,0.74,Drums
bright hollow,sad,synth,classical,Two Door Cinema Club,Indie Rock,0.8,Guitar
nox arden,happy,trumpet,futuristic,Sen Senra,Indie Pop,0.64,Vocals
lily drift,angry,drums,futuristic,Chiquita Movida,Indie Pop,0.6,Vocals
nox arden,chill,guitar,2000s,Sen Senra,Indie Pop,0.64,Vocals
bright hollow,happy,synth,2010s,Two Door Cinema Club,Indie Rock,0.8,Guitar
eira flux,chill,synth,90s,Zahara,Indie Pop,0.58,Vocals
mina rose,chill,synth,futuristic,Mushkaa,Urban Pop,0.68,Vocals
mira solis,chill,trumpet,futuristic,Reneé Rapp,Pop,0.66,Vocals
sora lyne,sad,synth,classical,Sigrid,Pop,0.72,Vocals
kiro blaze,sad,trumpet,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
nyx aura,angry,piano,2010s,Ven'nus,Alternative Pop,0.66,Vocals
noir signal,happy,violin,futuristic,Faithless,Electronic / Dance,0.88,Synth / DJ
nyx aura,chill,drums,70s,Ven'nus,Alternative Pop,0.66,Vocals
ryo kaze,chill,drums,2000s,Figa Flawas,Urban Pop Rap,0.79,Vocals
orin flux,sad,trumpet,2010s,Dorian,Indie Electronic,0.73,Synth
ryo kaze,sad,guitar,2000s,Figa Flawas,Urban Pop Rap,0.79,Vocals
bright hollow,sad,piano,2000s,Two Door Cinema Club,Indie Rock,0.8,Guitar
stone vale,sad,drums,70s,Els Pets,Rock,0.69,Guitar
sol vireo,happy,piano,70s,Sexenni,Pop Rock,0.72,Guitar
dax nova,happy,dj,70s,Doctor Prats,Pop Reggae Fusion,0.77,Guitar
kiro blaze,happy,guitar,futuristic,Lildami,Urban Hip Hop,0.74,Vocals
nox arden,sad,trumpet,80s,Sen Senra,Indie Pop,0.64,Vocals
lena pulse,chill,guitar,80s,Delaporte,Electronic Pop,0.78,Synth
eira flux,angry,violin,medieval,Zahara,Indie Pop,0.58,Vocals
zaya ice,chill,synth,futuristic,Flashy Ice Cream,Urban Trap,0.8,Vocals
zaya ice,happy,dj,medieval,Flashy Ice Cream,Urban Trap,0.8,Vocals
crimson echo,happy,violin,classical,Garbage,Alternative Rock,0.75,Vocals
rex volta,sad,drums,80s,Meute,Techno Brass,0.86,Brass
cale rowan,happy,bass,medieval,La Ludwig Band,Folk Rock,0.67,Guitar
pyro kine,chill,synth,70s,Son Rompe Pera,Marimba Punk,0.83,Marimba
orion keys,happy,dj,70s,Jon Batiste,Jazz / Soul,0.6,Piano
ryo kaze,happy,violin,medieval,Figa Flawas,Urban Pop Rap,0.79,Vocals
rex volta,happy,dj,futuristic,Meute,Techno Brass,0.86,Brass
zelka tano,happy,trumpet,90s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
axel noir,happy,bass,70s,Ultraligera,Indie Rock,0.68,Guitar
axel noir,happy,trumpet,medieval,Ultraligera,Indie Rock,0.68,Guitar
taro vale,angry,dj,classical,Ezra Collective,Jazz / Afrobeat,0.74,Drums
lumen riot,angry,dj,90s,Pixies,Alternative Rock,0.82,Guitar
elias storm,happy,guitar,futuristic,Suede,Britpop,0.72,Vocals / Guitar
viko ray,angry,bass,90s,Ginebras,Indie Pop,0.75,Guitar
kiro blaze,sad,synth,2010s,Lildami,Urban Hip Hop,0.74,Vocals
lumen riot,chill,violin,70s,Pixies,Alternative Rock,0.82,Guitar
eden bloom,happy,violin,70s,Al·lèrgiques al Pol·len,Indie Pop,0.64,Guitar
crimson echo,sad,bass,classical,Garbage,Alternative Rock,0.75,Vocals
mira solis,happy,violin,medieval,Reneé Rapp,Pop,0.66,Vocals
rex volta,happy,bass,medieval,Meute,Techno Brass,0.86,Brass
crimson echo,sad,dj,futuristic,Garbage,Alternative Rock,0.75,Vocals
zelka tano,happy,violin,2010s,Bomba Estéreo,Electro Cumbia,0.85,Vocals
lily drift,chill,violin,futuristic,Chiquita Movida,Indie Pop,0.6,Vocals
orin flux,happy,piano,classical,Dorian,Indie Electronic,0.73,Synth
liora vale,happy,bass,2010s,Rigoberta Bandini,Indie Pop,0.68,Vocals
vira nova,angry,guitar,futuristic,Halsey,Alternative Pop,0.7,Vocals
aqua lume,happy,piano,2010s,Polo & Pan,Electronic,0.62,Synth
cora miel,sad,bass,80s,Sadie Jean,Pop,0.52,Vocals
bright hollow,chill,guitar,70s,Two Door Cinema Club,Indie Rock,0.8,Guitar
kael vorn,angry,dj,2000s,Jovanotti,Pop / World Music,0.77,Vocals
elara venn,sad,drums,medieval,Judeline,Pop,0.61,Vocals
elara venn,sad,synth,futuristic,Judeline,Pop,0.61,Vocals
luna vex,chill,violin,2000s,Mama Dousha,Electronic Pop,0.7,Synth
nova tide,angry,drums,classical,Midnight Generation,Funk / Disco,0.81,Synth
elias storm,happy,trumpet,90s,Suede,Britpop,0.72,Vocals / Guitar
viko ray,happy,bass,2010s,Ginebras,Indie Pop,0.75,Guitar
vira nova,chill,violin,80s,Halsey,Alternative Pop,0.7,Vocals
orion keys,angry,trumpet,medieval,Jon Batiste,Jazz / Soul,0.6,Piano
lena pulse,chill,bass,classical,Delaporte,Electronic Pop,0.78,Synth
ryo kaze,sad,trumpet,2000s,Figa Flawas,Urban Pop Rap,0.79,Vocals
crimson echo,sad,guitar,90s,Garbage,Alternative Rock,0.75,Vocals
lena pulse,happy,trumpet,80s,Delaporte,Electronic Pop,0.78,Synth
cale rowan,happy,violin,80s,La Ludwig Band,Folk Rock,0.67,Guitar
dust canyon,happy,synth,80s,The Black Crowes,Blues Rock,0.78,Guitar
liora vale,happy,dj,90s,Rigoberta Bandini,Indie Pop,0.68,Vocals
axel noir,sad,violin,90s,Ultraligera,Indie Rock,0.68,Guitar
ryo kaze,chill,synth,medieval,Figa Flawas,Urban Pop Rap,0.79,Vocals
axel noir,chill,bass,2000s,Ultraligera,Indie Rock,0.68,Guitar
crimson echo,happy,bass,medieval,Garbage,Alternative Rock,0.75,Vocals
luna vex,happy,trumpet,70s,Mama Dousha,Electronic Pop,0.7,Synth
sora lyne,sad,piano,medieval,Sigrid,Pop,0.72,Vocals
mira cloud,chill,dj,90s,The Cardigans,Alternative Pop,0.65,Vocals
lumen riot,chill,dj,futuristic,Pixies,Alternative Rock,0.82,Guitar
dust canyon,happy,dj,80s,The Black Crowes,Blues Rock,0.78,Guitar
kai rio,sad,piano,2010s,The Tyets,Urban Pop Reggaeton,0.81,Vocals
sol vireo,sad,piano,2000s,Sexenni,Pop Rock,0.72,Guitar
noir signal,sad,dj,classical,Faithless,Electronic / Dance,0.88,Synth / DJ
mira solis,chill,piano,futuristic,Reneé Rapp,Pop,0.66,Vocals
lily drift,happy,dj,2010s,Chiquita Movida,Indie Pop,0.6,Vocals
noir signal,sad,trumpet,medieval,Faithless,Electronic / Dance,0.88,Synth / DJ
elias storm,angry,drums,80s,Suede,Britpop,0.72,Vocals / Guitar
mira cloud,happy,drums,classical,The Cardigans,Alternative Pop,0.65,Vocals
bright hollow,happy,guitar,2000s,Two Door Cinema Club,Indie Rock,0.8,Guitar
cale rowan,chill,dj,2010s,La Ludwig Band,Folk Rock,0.67,Guitar
rex volta,happy,trumpet,90s,Meute,Techno Brass,0.86,Brass
elara venn,angry,dj,70s,Judeline,Pop,0.61,Vocals
nox arden,happy,dj,70s,Sen Senra,Indie Pop,0.64,Vocals
dust canyon,chill,drums,classical,The Black Crowes,Blues Rock,0.78,Guitar
mira solis,sad,bass,80s,Reneé Rapp,Pop,0.66,Vocals
nero pulse,happy,trumpet,futuristic,31 FAM,Urban Trap,0.82,Vocals
eira flux,angry,dj,2000s,Zahara,Indie Pop,0.58,Vocals
axel noir,angry,drums,90s,Ultraligera,Indie Rock,0.68,Guitar
viko ray,angry,bass,medieval,Ginebras,Indie Pop,0.75,Guitar
nova tide,chill,dj,70s,Midnight Generation,Funk / Disco,0.81,Synth
zaya ice,happy,trumpet,2000s,Flashy Ice Cream,Urban Trap,0.8,Vocals
mira solis,chill,guitar,2010s,Reneé Rapp,Pop,0.66,Vocals
juno vex,sad,dj,medieval,Alizzz,Electronic Pop,0.71,Synth
elara venn,sad,violin,classical,Judeline,Pop,0.61,Vocals
lily drift,happy,guitar,2010s,Chiquita Movida,Indie Pop,0.6,Vocals
